['11:03:24', 'Загрузка процеесора: 2.0%', 'Percentage: 39.8%']
['11:03:30', 'Загрузка процеесора: 1.1%', 'Percentage: 39.8%']
['11:07:10', 'Загрузка процеесора: 1.0%', 'Percentage: 39.8%']
['11:07:14', 'Загрузка процеесора: 1.9%', 'Percentage: 39.8%']
['11:47:32', 'Загрузка процеесора: 1.1%', 'Percentage: 39.9%']
['11:47:36', 'Загрузка процеесора: 2.0%', 'Percentage: 39.9%']
['11:47:40', 'Загрузка процеесора: 5.5%', 'Percentage: 39.9%']
['11:47:44', 'Загрузка процеесора: 38.2%', 'Percentage: 48.5%']
['11:47:48', 'Загрузка процеесора: 86.3%', 'Percentage: 57.4%']
['11:47:52', 'Загрузка процеесора: 93.4%', 'Percentage: 60.1%']
['11:47:56', 'Загрузка процеесора: 95.3%', 'Percentage: 68.1%']
['11:48:00', 'Загрузка процеесора: 95.1%', 'Percentage: 75.3%']
['11:48:04', 'Загрузка процеесора: 59.1%', 'Percentage: 75.2%']
['11:48:08', 'Загрузка процеесора: 81.0%', 'Percentage: 76.2%']
['11:49:17', 'Загрузка процеесора: 2.8%', 'Percentage: 38.9%']
['11:49:21', 'Загрузка процеесора: 0.8%', 'Percentage: 38.9%']
['11:49:25', 'Загрузка процеесора: 1.0%', 'Percentage: 38.9%']
['11:49:29', 'Загрузка процеесора: 1.0%', 'Percentage: 38.9%']
['11:49:33', 'Загрузка процеесора: 0.8%', 'Percentage: 38.9%']
['11:49:37', 'Загрузка процеесора: 2.4%', 'Percentage: 38.9%']
['11:49:41', 'Загрузка процеесора: 1.1%', 'Percentage: 38.9%']
['11:49:45', 'Загрузка процеесора: 1.9%', 'Percentage: 38.9%']
['11:49:49', 'Загрузка процеесора: 1.1%', 'Percentage: 38.9%']
['11:49:53', 'Загрузка процеесора: 3.6%', 'Percentage: 38.9%']
['20:41:25', 'Загрузка процеесора: 2.8%', 'Percentage: 59.9%']
['20:41:29', 'Загрузка процеесора: 2.2%', 'Percentage: 59.9%']
['20:41:33', 'Загрузка процеесора: 3.4%', 'Percentage: 60.0%']
['20:41:37', 'Загрузка процеесора: 2.9%', 'Percentage: 60.0%']
['20:41:41', 'Загрузка процеесора: 2.7%', 'Percentage: 60.0%']
['20:41:45', 'Загрузка процеесора: 2.2%', 'Percentage: 60.0%']
['20:41:49', 'Загрузка процеесора: 3.1%', 'Percentage: 60.1%']
['20:41:53', 'Загрузка процеесора: 2.3%', 'Percentage: 60.1%']
['20:41:57', 'Загрузка процеесора: 2.9%', 'Percentage: 60.1%']
['20:42:01', 'Загрузка процеесора: 2.9%', 'Percentage: 60.1%']
['20:42:43', 'Загрузка процеесора: 2.4%', 'Percentage: 60.7%']
['20:42:47', 'Загрузка процеесора: 3.3%', 'Percentage: 60.8%']
['20:46:34', 'Загрузка процеесора: 2.0%', 'Percentage: 61.8%']
['20:47:51', 'Загрузка процеесора: 2.5%', 'Percentage: 62.7%']
['20:47:55', 'Загрузка процеесора: 3.0%', 'Percentage: 62.7%']
['20:48:33', 'Загрузка процеесора: 2.7%', 'Percentage: 60.0%']
['20:48:37', 'Загрузка процеесора: 2.8%', 'Percentage: 60.0%']
['20:50:01', 'Загрузка процеесора: 2.9%', 'Percentage: 60.1%']
['20:50:05', 'Загрузка процеесора: 2.2%', 'Percentage: 60.1%']
['20:50:55', 'Загрузка процеесора: 2.7%', 'Percentage: 60.2%']
['20:50:59', 'Загрузка процеесора: 2.8%', 'Percentage: 60.2%']
['20:51:11', 'Загрузка процеесора: 2.3%', 'Percentage: 60.3%']
['20:51:15', 'Загрузка процеесора: 2.2%', 'Percentage: 60.3%']
['20:52:05', 'Загрузка процеесора: 3.0%', 'Percentage: 60.6%']
['20:52:09', 'Загрузка процеесора: 4.2%', 'Percentage: 60.6%']
['20:52:33', 'Загрузка процеесора: 2.7%', 'Percentage: 60.7%']
['20:52:37', 'Загрузка процеесора: 3.3%', 'Percentage: 60.8%']
['21:15:14', 'Загрузка процеесора: 2.8%', 'Percentage: 62.1%']
['21:15:18', 'Загрузка процеесора: 2.9%', 'Percentage: 62.1%']
['21:17:11', 'Загрузка процеесора: 3.4%', 'Percentage: 62.7%']
['21:17:15', 'Загрузка процеесора: 2.4%', 'Percentage: 62.7%']
['22:54:04', 'Загрузка процеесора: 0.9%', 'Percentage: 40.3%']
['22:54:09', 'Загрузка процеесора: 1.1%', 'Percentage: 40.3%']
['22:56:10', 'Загрузка процеесора: 1.0%', 'Percentage: 41.7%']
['22:56:14', 'Загрузка процеесора: 1.4%', 'Percentage: 41.7%']
['22:56:18', 'Загрузка процеесора: 10.9%', 'Percentage: 44.7%']
['22:56:22', 'Загрузка процеесора: 83.0%', 'Percentage: 61.3%']
['22:56:26', 'Загрузка процеесора: 84.7%', 'Percentage: 65.0%']
['22:56:30', 'Загрузка процеесора: 97.2%', 'Percentage: 71.8%']
['22:56:34', 'Загрузка процеесора: 98.9%', 'Percentage: 78.2%']
['22:56:38', 'Загрузка процеесора: 98.3%', 'Percentage: 83.6%']
['22:56:42', 'Загрузка процеесора: 93.2%', 'Percentage: 87.7%']
['22:56:46', 'Загрузка процеесора: 60.9%', 'Percentage: 88.5%']
['13:57:28', 'Загрузка процеесора: 1.0%', 'Percentage: 34.0%']
['13:57:32', 'Загрузка процеесора: 0.5%', 'Percentage: 34.0%']
['13:57:36', 'Загрузка процеесора: 3.4%', 'Percentage: 34.0%']
['13:57:40', 'Загрузка процеесора: 46.2%', 'Percentage: 47.4%']
['13:57:44', 'Загрузка процеесора: 38.5%', 'Percentage: 50.4%']
['13:57:48', 'Загрузка процеесора: 59.5%', 'Percentage: 55.2%']
['13:57:52', 'Загрузка процеесора: 93.5%', 'Percentage: 60.5%']
['13:57:56', 'Загрузка процеесора: 100.0%', 'Percentage: 71.8%']
['13:58:00', 'Загрузка процеесора: 99.6%', 'Percentage: 78.9%']
['13:58:04', 'Загрузка процеесора: 99.9%', 'Percentage: 87.8%']
['16:25:35', 'Загрузка процеесора: 3.7%', 'Percentage: 73.7%']
['16:25:39', 'Загрузка процеесора: 4.1%', 'Percentage: 73.7%']
['16:25:43', 'Загрузка процеесора: 35.4%', 'Percentage: 78.8%']
['16:25:47', 'Загрузка процеесора: 88.4%', 'Percentage: 83.0%']
['16:25:51', 'Загрузка процеесора: 97.5%', 'Percentage: 87.6%']
['16:25:55', 'Загрузка процеесора: 96.3%', 'Percentage: 81.1%']
['16:25:59', 'Загрузка процеесора: 11.3%', 'Percentage: 78.8%']
['16:26:03', 'Загрузка процеесора: 15.2%', 'Percentage: 76.4%']
